num_regions,num_heights,seed,endurance,method,objective,solve_time,mip_gap,first_incumbent_obj,first_incumbent_time,heuristic_obj,heuristic_time,num_ops,status,n_vars,n_constrs
1,1,2,2400,edges,193.0163,0.04,0.0000,194.2715,0.01,,0.00,1,OPTIMAL,212,374
1,1,2,2400,edges_ws,193.0163,0.03,0.0000,193.1788,0.00,193.1788,0.00,1,OPTIMAL,212,374
1,1,3,300,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,300,edges,203.6765,0.16,0.0000,214.8116,0.01,,0.01,1,OPTIMAL,424,736
1,1,3,300,edges_ws,203.6765,0.18,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,3,450,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,450,edges,203.6765,0.15,0.0000,214.8116,0.03,,0.01,1,OPTIMAL,424,736
1,1,3,450,edges_ws,203.6765,0.14,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,3,600,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,600,edges,203.6765,0.20,0.0000,214.8116,0.03,,0.01,1,OPTIMAL,424,736
1,1,3,600,edges_ws,203.6765,0.15,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,3,900,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,900,edges,203.6765,0.15,0.0000,214.8116,0.02,,0.01,1,OPTIMAL,424,736
1,1,3,900,edges_ws,203.6765,0.13,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,3,1500,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,1500,edges,203.6765,0.10,0.0000,206.3644,0.02,,0.01,1,OPTIMAL,424,736
1,1,3,1500,edges_ws,203.6765,0.13,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,3,2400,heuristic,205.7875,0.01,,,,,0.01,1,HEURISTIC,,
1,1,3,2400,edges,203.6765,0.11,0.0000,206.3644,0.02,,0.01,1,OPTIMAL,424,736
1,1,3,2400,edges_ws,203.6765,0.13,0.0000,205.7875,0.00,205.7875,0.01,1,OPTIMAL,424,736
1,1,4,300,heuristic,183.2010,0.01,,,,,0.01,1,HEURISTIC,,
1,1,4,300,edges,181.7929,0.03,0.0000,182.6971,0.02,,0.01,1,OPTIMAL,212,374
1,1,4,300,edges_ws,181.7928,0.03,0.0000,183.2010,0.00,183.2010,0.01,1,OPTIMAL,212,374
1,1,4,450,heuristic,183.2010,0.00,,,,,0.00,1,HEURISTIC,,
1,1,4,450,edges,181.7928,0.03,0.0000,223.1493,0.01,,0.00,1,OPTIMAL,212,374
1,1,4,450,edges_ws,181.7928,0.05,0.0000,183.2010,0.01,183.2010,0.00,1,OPTIMAL,212,374
1,1,4,600,heuristic,183.2010,0.00,,,,,0.00,1,HEURISTIC,,
1,1,4,600,edges,181.7928,0.03,0.0000,223.1493,0.00,,0.00,1,OPTIMAL,212,374
1,1,4,600,edges_ws,181.7928,0.04,0.0000,183.2010,0.00,183.2010,0.00,1,OPTIMAL,212,374
1,1,4,900,heuristic,183.2010,0.01,,,,,0.01,1,HEURISTIC,,
1,1,4,900,edges,181.7928,0.03,0.0000,223.1493,0.00,,0.01,1,OPTIMAL,212,374
1,1,4,900,edges_ws,181.7928,0.04,0.0000,183.2010,0.00,183.2010,0.01,1,OPTIMAL,212,374
1,1,4,1500,heuristic,183.2010,0.00,,,,,0.00,1,HEURISTIC,,
1,1,4,1500,edges,181.7928,0.03,0.0000,223.1493,0.00,,0.00,1,OPTIMAL,212,374
1,1,4,1500,edges_ws,181.7928,0.03,0.0000,183.2010,0.00,183.2010,0.00,1,OPTIMAL,212,374
1,1,4,2400,heuristic,183.2010,0.01,,,,,0.01,1,HEURISTIC,,
1,1,4,2400,edges,181.7928,0.03,0.0000,223.1493,0.00,,0.01,1,OPTIMAL,212,374
1,1,4,2400,edges_ws,181.7928,0.04,0.0000,183.2010,0.00,183.2010,0.01,1,OPTIMAL,212,374
1,2,0,300,heuristic,187.8239,0.01,,,,,0.01,1,HEURISTIC,,
1,2,0,300,edges,187.4544,0.07,0.0000,206.4222,0.02,,0.01,1,OPTIMAL,465,822
1,2,0,300,edges_ws,187.4544,0.07,0.0000,187.8239,0.00,187.8239,0.01,1,OPTIMAL,465,822
1,2,0,450,heuristic,187.8239,0.01,,,,,0.01,1,HEURISTIC,,
1,2,0,450,edges,187.4544,0.10,0.0000,206.4222,0.02,,0.01,1,OPTIMAL,465,822
1,2,0,450,edges_ws,187.4544,0.07,0.0000,187.8239,0.00,187.8239,0.01,1,OPTIMAL,465,822
1,2,0,600,heuristic,187.8239,0.01,,,,,0.01,1,HEURISTIC,,
1,2,0,600,edges,187.4544,0.07,0.0000,196.2890,0.02,,0.01,1,OPTIMAL,465,822
1,2,0,600,edges_ws,187.4544,0.06,0.0000,187.8239,0.00,187.8239,0.01,1,OPTIMAL,465,822
1,2,0,900,heuristic,187.8239,0.00,,,,,0.00,1,HEURISTIC,,
1,2,0,900,edges,187.4544,0.10,0.0000,206.4222,0.02,,0.00,1,OPTIMAL,465,822
1,2,0,900,edges_ws,187.4544,0.06,0.0000,187.8239,0.00,187.8239,0.00,1,OPTIMAL,465,822
1,2,0,1500,heuristic,187.8239,0.01,,,,,0.01,1,HEURISTIC,,
1,2,0,1500,edges,187.4544,0.08,0.0000,218.9258,0.01,,0.01,1,OPTIMAL,465,822
1,2,0,1500,edges_ws,187.4544,0.07,0.0000,187.8239,0.00,187.8239,0.01,1,OPTIMAL,465,822
1,2,0,2400,heuristic,187.8239,0.01,,,,,0.01,1,HEURISTIC,,
1,2,0,2400,edges,187.4544,0.10,0.0000,218.9258,0.02,,0.01,1,OPTIMAL,465,822
1,2,0,2400,edges_ws,187.4544,0.07,0.0000,187.8239,0.00,187.8239,0.01,1,OPTIMAL,465,822
