num_regions,num_heights,seed,endurance,method,objective,solve_time,mip_gap,first_incumbent_obj,first_incumbent_time,heuristic_obj,heuristic_time,num_ops,status,n_vars,n_constrs
1,1,2,2400,rings,193.0163,0.05,0.0000,194.2715,0.00,,0.02,1,OPTIMAL,215,372
1,1,2,2400,rings_ws,193.0163,0.05,0.0000,193.1788,0.00,193.1788,0.02,1,OPTIMAL,215,372
1,1,3,300,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,300,rings,203.6765,0.42,0.0000,224.2694,0.03,,0.03,1,OPTIMAL,428,733
1,1,3,300,rings_ws,203.6765,0.27,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,3,450,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,450,rings,203.6765,0.31,0.0000,224.2694,0.03,,0.03,1,OPTIMAL,428,733
1,1,3,450,rings_ws,203.6765,0.40,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,3,600,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,600,rings,203.6765,0.29,0.0000,224.2694,0.03,,0.03,1,OPTIMAL,428,733
1,1,3,600,rings_ws,203.6765,0.50,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,3,900,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,900,rings,203.6765,0.28,0.0000,224.2694,0.03,,0.03,1,OPTIMAL,428,733
1,1,3,900,rings_ws,203.6765,0.20,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,3,1500,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,1500,rings,203.6765,0.20,0.0000,230.3952,0.02,,0.03,1,OPTIMAL,428,733
1,1,3,1500,rings_ws,203.6765,0.24,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,3,2400,heuristic,205.7875,0.03,,,,,0.03,1,HEURISTIC,,
1,1,3,2400,rings,203.6765,0.23,0.0000,230.3952,0.02,,0.03,1,OPTIMAL,428,733
1,1,3,2400,rings_ws,203.6765,0.24,0.0000,205.7875,0.00,205.7875,0.03,1,OPTIMAL,428,733
1,1,4,300,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,300,rings,181.7928,0.05,0.0000,182.6971,0.02,,0.02,1,OPTIMAL,215,372
1,1,4,300,rings_ws,181.7928,0.05,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,1,4,450,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,450,rings,181.7928,0.06,0.0000,223.1493,0.00,,0.02,1,OPTIMAL,215,372
1,1,4,450,rings_ws,181.7928,0.08,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,1,4,600,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,600,rings,181.7928,0.06,0.0000,223.1493,0.00,,0.02,1,OPTIMAL,215,372
1,1,4,600,rings_ws,181.7928,0.06,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,1,4,900,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,900,rings,181.7928,0.06,0.0000,223.1493,0.00,,0.02,1,OPTIMAL,215,372
1,1,4,900,rings_ws,181.7928,0.07,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,1,4,1500,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,1500,rings,181.7928,0.06,0.0000,223.1493,0.00,,0.02,1,OPTIMAL,215,372
1,1,4,1500,rings_ws,181.7928,0.08,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,1,4,2400,heuristic,183.2010,0.02,,,,,0.02,1,HEURISTIC,,
1,1,4,2400,rings,181.7928,0.06,0.0000,223.1493,0.00,,0.02,1,OPTIMAL,215,372
1,1,4,2400,rings_ws,181.7928,0.06,0.0000,183.2010,0.00,183.2010,0.02,1,OPTIMAL,215,372
1,2,0,300,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,300,rings,187.4544,0.17,0.0000,339.1251,0.03,,0.03,1,OPTIMAL,469,819
1,2,0,300,rings_ws,187.4544,0.14,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,0,450,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,450,rings,187.4544,0.17,0.0000,499.9296,0.03,,0.03,1,OPTIMAL,469,819
1,2,0,450,rings_ws,187.4544,0.09,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,0,600,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,600,rings,187.4544,0.18,0.0000,204.7418,0.05,,0.03,1,OPTIMAL,469,819
1,2,0,600,rings_ws,187.4544,0.11,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,0,900,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,900,rings,187.4544,0.18,0.0000,499.9296,0.03,,0.03,1,OPTIMAL,469,819
1,2,0,900,rings_ws,187.4544,0.11,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,0,1500,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,1500,rings,187.4544,0.13,0.0000,189.7302,0.03,,0.03,1,OPTIMAL,469,819
1,2,0,1500,rings_ws,187.4544,0.11,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,0,2400,heuristic,187.8239,0.03,,,,,0.03,1,HEURISTIC,,
1,2,0,2400,rings,187.4544,0.12,0.0000,189.7302,0.03,,0.03,1,OPTIMAL,469,819
1,2,0,2400,rings_ws,187.4544,0.12,0.0000,187.8239,0.00,187.8239,0.03,1,OPTIMAL,469,819
1,2,1,300,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,300,rings,122.7195,0.09,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,300,rings_ws,122.7195,0.09,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,1,450,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,450,rings,122.7195,0.08,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,450,rings_ws,122.7195,0.10,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,1,600,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,600,rings,122.7195,0.10,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,600,rings_ws,122.7195,0.11,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,1,900,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,900,rings,122.7195,0.09,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,900,rings_ws,122.7195,0.11,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,1,1500,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,1500,rings,122.7195,0.08,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,1500,rings_ws,122.7195,0.15,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,1,2400,heuristic,155.8820,0.02,,,,,0.02,1,HEURISTIC,,
1,2,1,2400,rings,122.7195,0.10,0.0000,173.1727,0.01,,0.02,1,OPTIMAL,256,456
1,2,1,2400,rings_ws,122.7195,0.12,0.0000,155.8820,0.00,155.8820,0.02,1,OPTIMAL,256,456
1,2,2,300,heuristic,218.2419,0.03,,,,,0.03,1,HEURISTIC,,
1,2,2,300,rings,218.0815,0.20,0.0000,220.6261,0.01,,0.03,1,OPTIMAL,469,819
1,2,2,300,rings_ws,218.0815,0.20,0.0000,218.2419,0.00,218.2419,0.03,1,OPTIMAL,469,819
1,2,2,450,heuristic,218.2419,0.03,,,,,0.03,1,HEURISTIC,,
1,2,2,450,rings,218.0815,0.23,0.0000,220.6261,0.01,,0.03,1,OPTIMAL,469,819
1,2,2,450,rings_ws,218.0815,0.22,0.0000,218.2419,0.00,218.2419,0.03,1,OPTIMAL,469,819
1,2,2,600,heuristic,218.2419,0.03,,,,,0.03,1,HEURISTIC,,
1,2,2,600,rings,218.0815,0.29,0.0000,220.6261,0.01,,0.03,1,OPTIMAL,469,819
1,2,2,600,rings_ws,218.0815,0.19,0.0000,218.2419,0.00,218.2419,0.03,1,OPTIMAL,469,819
1,2,2,900,heuristic,218.2419,0.03,,,,,0.03,1,HEURISTIC,,
1,2,2,900,rings,218.0815,0.21,0.0000,220.6261,0.01,,0.03,1,OPTIMAL,469,819
1,2,2,900,rings_ws,218.0815,0.20,0.0000,218.2419,0.00,218.2419,0.03,1,OPTIMAL,469,819
1,2,2,1500,heuristic,218.2419,0.03,,,,,0.03,1,HEURISTIC,,
1,2,2,1500,rings,218.0815,0.19,0.0000,234.5905,0.02,,0.03,1,OPTIMAL,469,819
1,2,2,1500,rings_ws,218.0815,0.20,0.0000,218.2419,0.00,218.2419,0.03,1,OPTIMAL,469,819
1,2,2,2400,heuristic,218.2419,0.04,,,,,0.04,1,HEURISTIC,,
1,2,2,2400,rings,218.0815,0.20,0.0000,234.5905,0.02,,0.04,1,OPTIMAL,469,819
1,2,2,2400,rings_ws,218.0815,0.21,0.0000,218.2419,0.00,218.2419,0.04,1,OPTIMAL,469,819
1,2,3,300,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,300,rings,279.8482,3.79,0.0000,301.3153,0.02,,0.04,1,OPTIMAL,754,1302
1,2,3,300,rings_ws,279.8482,2.88,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,3,450,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,450,rings,279.8482,4.86,0.0000,301.4569,0.04,,0.04,1,OPTIMAL,754,1302
1,2,3,450,rings_ws,279.8482,2.59,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,3,600,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,600,rings,279.8482,3.32,0.0000,301.4569,0.04,,0.04,1,OPTIMAL,754,1302
1,2,3,600,rings_ws,279.8482,3.41,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,3,900,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,900,rings,279.8482,2.61,0.0000,301.4569,0.04,,0.04,1,OPTIMAL,754,1302
1,2,3,900,rings_ws,279.8482,2.74,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,3,1500,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,1500,rings,279.8482,4.79,0.0000,301.4569,0.04,,0.04,1,OPTIMAL,754,1302
1,2,3,1500,rings_ws,279.8482,3.67,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,3,2400,heuristic,281.6030,0.04,,,,,0.04,1,HEURISTIC,,
1,2,3,2400,rings,279.8482,4.24,0.0000,319.9282,0.03,,0.04,1,OPTIMAL,754,1302
1,2,3,2400,rings_ws,279.8482,5.32,0.0000,281.6030,0.00,281.6030,0.04,1,OPTIMAL,754,1302
1,2,4,300,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,300,rings,221.7137,0.20,0.0000,222.1291,0.03,,0.03,1,OPTIMAL,469,819
1,2,4,300,rings_ws,221.7137,0.21,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,2,4,450,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,450,rings,221.7137,0.17,0.0000,222.1291,0.03,,0.03,1,OPTIMAL,469,819
1,2,4,450,rings_ws,221.7137,0.22,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,2,4,600,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,600,rings,221.7137,0.17,0.0000,222.1291,0.03,,0.03,1,OPTIMAL,469,819
1,2,4,600,rings_ws,221.7137,0.20,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,2,4,900,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,900,rings,221.7137,0.16,0.0000,249.5707,0.03,,0.03,1,OPTIMAL,469,819
1,2,4,900,rings_ws,221.7137,0.19,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,2,4,1500,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,1500,rings,221.7137,0.22,0.0000,237.1283,0.01,,0.03,1,OPTIMAL,469,819
1,2,4,1500,rings_ws,221.7137,0.15,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,2,4,2400,heuristic,223.6403,0.03,,,,,0.03,1,HEURISTIC,,
1,2,4,2400,rings,221.7137,0.22,0.0000,237.1283,0.01,,0.03,1,OPTIMAL,469,819
1,2,4,2400,rings_ws,221.7137,0.15,0.0000,223.6403,0.00,223.6403,0.03,1,OPTIMAL,469,819
1,3,0,300,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,300,rings,222.2747,0.33,0.0000,233.7216,0.05,,0.04,1,OPTIMAL,795,1390
1,3,0,300,rings_ws,222.2747,0.26,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,0,450,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,450,rings,222.2747,0.30,0.0000,245.7201,0.04,,0.04,1,OPTIMAL,795,1390
1,3,0,450,rings_ws,222.2747,0.30,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,0,600,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,600,rings,222.2747,0.29,0.0000,245.7201,0.04,,0.04,1,OPTIMAL,795,1390
1,3,0,600,rings_ws,222.2747,0.30,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,0,900,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,900,rings,222.2747,0.32,0.0000,245.7201,0.04,,0.04,1,OPTIMAL,795,1390
1,3,0,900,rings_ws,222.2747,0.36,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,0,1500,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,1500,rings,222.2747,0.29,0.0000,222.9144,0.05,,0.04,1,OPTIMAL,795,1390
1,3,0,1500,rings_ws,222.2747,0.30,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,0,2400,heuristic,222.5307,0.04,,,,,0.04,1,HEURISTIC,,
1,3,0,2400,rings,222.2747,0.26,0.0000,248.5977,0.04,,0.04,1,OPTIMAL,795,1390
1,3,0,2400,rings_ws,222.2747,0.33,0.0000,222.5307,0.00,222.5307,0.04,1,OPTIMAL,795,1390
1,3,1,300,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,300,rings,139.8686,0.17,0.0000,151.7979,0.03,,0.03,1,OPTIMAL,510,905
1,3,1,300,rings_ws,139.8686,0.21,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,1,450,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,450,rings,139.8686,0.20,0.0000,151.7979,0.03,,0.03,1,OPTIMAL,510,905
1,3,1,450,rings_ws,139.8686,0.21,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,1,600,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,600,rings,139.8686,0.16,0.0000,157.0743,0.03,,0.03,1,OPTIMAL,510,905
1,3,1,600,rings_ws,139.8686,0.17,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,1,900,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,900,rings,139.8686,0.21,0.0000,169.5116,0.03,,0.03,1,OPTIMAL,510,905
1,3,1,900,rings_ws,139.8686,0.22,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,1,1500,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,1500,rings,139.8686,0.20,0.0000,153.8802,0.02,,0.03,1,OPTIMAL,510,905
1,3,1,1500,rings_ws,139.8686,0.14,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,1,2400,heuristic,140.0253,0.03,,,,,0.03,1,HEURISTIC,,
1,3,1,2400,rings,139.8686,0.20,0.0000,153.8802,0.02,,0.03,1,OPTIMAL,510,905
1,3,1,2400,rings_ws,139.8686,0.14,0.0000,140.0253,0.00,140.0253,0.03,1,OPTIMAL,510,905
1,3,2,300,heuristic,266.4489,0.05,,,,,0.05,1,HEURISTIC,,
1,3,2,300,rings,262.1277,101.55,0.0000,264.6698,0.05,,0.05,1,OPTIMAL,1152,1995
1,3,2,300,rings_ws,262.1277,194.20,0.0000,266.4489,0.00,266.4489,0.05,1,OPTIMAL,1152,1995
1,3,2,450,heuristic,266.4489,0.06,,,,,0.06,1,HEURISTIC,,
1,3,2,450,rings,262.1277,235.32,0.0000,264.6698,0.05,,0.06,1,OPTIMAL,1152,1995
1,3,2,450,rings_ws,262.1277,76.07,0.0000,266.4489,0.00,266.4489,0.06,1,OPTIMAL,1152,1995
1,3,2,600,heuristic,266.4489,0.06,,,,,0.06,1,HEURISTIC,,
1,3,2,600,rings,262.1277,84.96,0.0000,264.6698,0.06,,0.06,1,OPTIMAL,1152,1995
1,3,2,600,rings_ws,262.1277,114.82,0.0000,266.4489,0.00,266.4489,0.06,1,OPTIMAL,1152,1995
1,3,2,900,heuristic,266.4489,0.07,,,,,0.07,1,HEURISTIC,,
1,3,2,900,rings,262.1277,124.80,0.0000,264.6698,0.06,,0.07,1,OPTIMAL,1152,1995
1,3,2,900,rings_ws,262.1277,100.34,0.0000,266.4489,0.00,266.4489,0.07,1,OPTIMAL,1152,1995
1,3,2,1500,heuristic,266.4489,0.05,,,,,0.05,1,HEURISTIC,,
1,3,2,1500,rings,262.1277,100.37,0.0000,264.6698,0.06,,0.05,1,OPTIMAL,1152,1995
1,3,2,1500,rings_ws,262.1277,102.07,0.0000,266.4489,0.00,266.4489,0.05,1,OPTIMAL,1152,1995
1,3,2,2400,heuristic,266.4489,0.07,,,,,0.07,1,HEURISTIC,,
1,3,2,2400,rings,262.1277,100.45,0.0000,274.2251,0.05,,0.07,1,OPTIMAL,1152,1995
1,3,2,2400,rings_ws,262.1277,299.84,0.0000,266.4489,0.00,266.4489,0.07,1,OPTIMAL,1152,1995
1,3,3,300,heuristic,411.1492,0.07,,,,,0.07,2,HEURISTIC,,
1,3,3,300,rings,,0.00,,,,,0.07,,INFEASIBLE,1581,2720
1,3,3,300,rings_ws,,0.00,,,,411.1492,0.07,,INFEASIBLE,1581,2720
1,3,3,450,heuristic,373.1353,0.06,,,,,0.06,1,HEURISTIC,,
1,3,3,450,rings,365.7470,1800.04,0.0332,395.3175,0.09,,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,450,rings_ws,365.7470,1800.03,0.0315,373.1353,0.00,373.1353,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,600,heuristic,373.1353,0.06,,,,,0.06,1,HEURISTIC,,
1,3,3,600,rings,365.7470,1800.05,0.0307,379.8990,0.10,,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,600,rings_ws,365.7470,1800.23,0.0304,373.1353,0.00,373.1353,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,900,heuristic,373.1353,0.06,,,,,0.06,1,HEURISTIC,,
1,3,3,900,rings,365.7470,1800.04,0.0343,379.8990,0.09,,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,900,rings_ws,365.7470,1800.01,0.0315,373.1353,0.00,373.1353,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,1500,heuristic,373.1353,0.06,,,,,0.06,1,HEURISTIC,,
1,3,3,1500,rings,365.7470,1800.07,0.0336,379.8990,0.11,,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,1500,rings_ws,365.7470,1800.02,0.0240,373.1353,0.00,373.1353,0.06,1,SUBOPTIMAL,1581,2720
1,3,3,2400,heuristic,373.1353,0.07,,,,,0.07,1,HEURISTIC,,
1,3,3,2400,rings,365.7470,1800.02,0.0289,379.8990,0.09,,0.07,1,SUBOPTIMAL,1581,2720
1,3,3,2400,rings_ws,365.7470,1800.02,0.0233,373.1353,0.00,373.1353,0.07,1,SUBOPTIMAL,1581,2720
1,3,4,300,heuristic,283.4992,0.05,,,,,0.05,1,HEURISTIC,,
1,3,4,300,rings,281.2549,57.96,0.0000,286.3842,0.06,,0.05,1,OPTIMAL,1152,1995
1,3,4,300,rings_ws,281.2549,23.89,0.0000,283.4992,0.00,283.4992,0.05,1,OPTIMAL,1152,1995
1,3,4,450,heuristic,283.4992,0.05,,,,,0.05,1,HEURISTIC,,
1,3,4,450,rings,281.2549,36.27,0.0000,493.6566,0.08,,0.05,1,OPTIMAL,1152,1995
1,3,4,450,rings_ws,281.2549,54.72,0.0000,283.4992,0.00,283.4992,0.05,1,OPTIMAL,1152,1995
1,3,4,600,heuristic,283.4992,0.07,,,,,0.07,1,HEURISTIC,,
